34167	8	45552
15974	2	45558
8696	2	45565
38793	2	45566
3876	2	45567
29259	10	45560
371	13	45572
4090	14	45581
18023	4	45545
26276	2	45567
24362	19	45595
5949	12	45569
18539	11	45599
5198	20	45609
6072	25	45624
8199	20	45626
1885	19	45630
2911	21	45631
11947	19	45633
1498	9	45554
8591	17	45647
19517	14	45648
21231	2	45650
14657	2	45666
15053	20	45626
14328	6	45549
12799	17	45647
7554	6	45694
23534	6	45549
16889	25	45697
19455	2	45627
4619	5	45547
27284	15	45585
21252	29	45704
16499	2	45567
525	28	45687
27508	9	45554
24508	25	45624
1194	18	45592
25521	19	45595
5494	24	45622
7690	2	45565
36280	20	45626
29477	14	45743
13840	5	45596
13674	16	45723
10546	29	45704
27643	4	45545
38867	2	45756
21707	2	45757
15167	2	45762
8026	2	45770
11735	1	45540
19758	12	45569
138	16	45601
12898	30	45787
3360	25	45624
26126	2	45788
7007	29	45704
12393	23	45794
22689	29	45704
26124	2	45567
18825	19	45805
17544	10	45560
20256	20	45609
22453	18	45592
6482	25	45624
28745	11	45561
8147	15	45851
32117	9	45623
19927	2	45853
10189	2	45856
10519	27	45864
6831	0	45564
25289	13	45572
11982	5	45596
27894	5	45547
2420	1	45540
2524	6	45694
4636	5	45547
19889	2	45664
973	1	45540
21132	9	45554
4549	13	45572
1103	5	45547
12775	30	45787
5066	2	45669
4763	28	45687
26603	22	45702
2268	0	45838
39795	10	45560
2347	8	45646
31149	15	45585
31073	23	45618
15338	6	45549
39960	1	45540
2414	15	45585
3058	27	45979
12164	25	45927
4747	10	45560
36368	13	45572
7820	14	45581
9691	5	45547
3662	11	45561
11716	22	45702
23931	9	45554
3644	5	45547
5649	21	45613
17969	2	45685
4392	11	45599
2672	4	45545
1656	23	45618
27894	14	45648
4491	12	45579
26672	0	46041
19596	14	45648
11919	4	45545
20295	1	45540
31775	2	45567
3390	35	46060
22598	14	45821
8080	18	45592
34814	17	45647
32089	1	45540
24190	27	45979
21191	2	46086
26759	13	45572
7574	5	45596
13241	2	45762
33335	20	46033
40083	15	45585
33816	15	45585
16194	25	45927
4121	2	46109
25721	2	45669
25496	4	45545
24811	15	45585
9943	10	45560
14882	2	46125
11860	25	45927
1086	0	45772
38423	22	45615
4527	17	45647
11384	25	45624
9142	2	45567
2121	18	45592
19093	2	46164
9450	21	45631
1689	9	45554
8930	22	45615
19295	10	45560
24527	22	45615
10488	2	46168
13289	2	46180
18507	2	45664
21820	2	45567
11380	2	46164
13563	1	45540
9237	25	45624
1606	4	45545
6148	2	45567
2062	36	46206
205	20	45626
38406	21	45631
6640	9	45623
4196	1	45540
29243	30	45787
19558	12	45569
9317	29	45704
2841	5	45547
4773	9	45623
34787	2	45994
12094	10	45560
10777	19	45633
8778	11	45599
7614	13	45572
18158	12	45569
2440	2	46250
7298	11	45599
12794	16	45587
5573	23	45618
15907	12	45579
5215	2	45762
28693	5	45547
26543	1	45540
16105	2	46274
7346	14	45898
14557	8	45552
17068	15	45585
3828	23	45618
6911	25	45927
23	2	45762
22022	23	45618
765	14	45648
29967	18	45592
14888	2	45788
28334	19	46321
13661	11	45561
6639	4	45545
31712	2	45567
2053	8	45552
17984	1	46063
14919	20	46033
5831	20	45797
13524	17	45647
33384	20	46033
21953	18	45592
96	9	45623
25069	19	45595
28737	12	46067
16340	30	46368
7580	36	46206
4489	6	45694
31355	1	45540
19696	18	45592
7983	13	45572
707	5	45596
36261	21	45631
18716	2	46394
20821	15	45585
18223	25	45624
4377	5	45596
6066	2	45567
31369	10	45560
26868	11	45599
7489	2	45788
3876	12	45569
33457	2	45847
42192	25	45697
38843	25	45697
11399	4	45545
36024	29	46190
8888	15	45585
17508	2	45869
25287	1	46063
21041	20	45797
15449	15	45585
16507	9	45554
5949	13	45572
26667	16	45726
22259	13	45572
9142	25	45927
14263	11	45599
